AccessIntervalControl,Group Of CompanyName,Customer,Area,JobCardNo,ProjectName,Desc,Notes,DeliveryDate,M3
,,Crestline,Auckland - East Tamaki,36676,65939 Datacom,6 Tops,"dispatched, waiting on rp",02-Mar-17,0.213
,,Crestline,Hamilton,36800,66018 Crestline,1 SUMMIT Desk,"dispatched, waiting on rp",03-Mar-17,0.1
,,Crestline,Hamilton,36856,66047 Crestline,"1 Top, 1 Cable Entry, 1 ENERGY Leg, 1 ENERGY Beam","dispatched, waiting on rp",01-Mar-17,0.09
,,Arcon,Wellington,36846,Arcon,"12 Tops, 12 Cable Entries, 6 SYSTEM 25 Screens, 12 SYSTEM 25 Brackets","Dispatched, waiting on rp",02-Mar-17,0.582
,,Bay Office Products Ltd,Tauranga,36965,Bluelad,"1 SUMMIT Desk, 2 KARDO Monitor Arms","dispatched, waiting on rp",02-Mar-17,0.178
,,Bay Office Products Ltd,Tauranga,36728,Linkup Paints,1 DUO Desk,"dispatched, waiting on rp",01-Mar-17,0.1
,,Hawkes Bay Office Products Depot,Napier,36096,Hawkes Bay OPD,4 MASCOT Personal Storage Units,**1 units disp 02/03 Conroy**,01-Mar-17,0.858
,,Hawkes Bay Office Products Depot,Napier,36992,HB OPD,1 Shelf,"dispatched, waiting on rp",02-Feb-17,0
,,Vision Commercial,Mt Maunganui,37034,Vision,1 METALICON CUBE Mobile,"dispatched, waiting on rp",02-Mar-17,0
,,Dobbins,Wellington,36648,Astra Creative,"5 BALANCE 2 Desk pod back to back, 1 ENERGY 90° Workstation *Attn: James Hue 021 664 588*","dispatched, waiting on rp",02-Mar-17,1.32
,,Uno Furniture,Rotorua,36929,Digital Basecamp,25 ACCENT Wire Baskets,"dispatched, waiting on rp",02-Mar-17,0.25
,,OFM OfficeMax,Wellington,36916,ACG Wellington,"**Critical delivery**1 x AA106636W, 1 x AA107777-WH & 1 x AA102155-WT to go 27/02 del 02/03 rest MUST go 09/03 del 13/03/17**3 METALICON CUBE Mobiles, 12 ACCENT Soft Wiring, 7 20amp Wall Starter Sockets, 1 DUO Desk, 4 CLASSIC Round Meeting Tables, 8 BALANCE Desks, 2 BUZZ Centre Screens, 4 SYSTEM 25 Brackets, 1 SHOT Table","*1 x AA106636W, 1 x AA107777-WH & 1 x AA102155-WT to dispatched on conroy, waiting on rp, rest MUST go 09/03 del 13/03/17 for OFM installing 14/03**",02-Mar-17,1.95
,,OFM OfficeMax,Hamilton,36969,Harcourts,2 METALICON SPECTRUM Mobiles,"dispatched, waiting on rp",01-Mar-17,0.24
,,OFM OfficeMax,New Plymouth,36990,OfficeMax New Plymouth,2 METALICON CUBE Mobiles,"dispatched, waiting on rp",02-Mar-17,0.24
,,OFM OfficeMax,Rotorua,36777,OfficeMax Rotorua,"1 OSLO Sit Down Tri Meeting Table, 1 OSLO Stool","dispatched, waiting on rp",02-Mar-17,0.23
,,Conroy Removals,Hamilton,37025,Massey Uni - Hamilton,2 METALICON SPECTRUM Mobiles,"dispatched, waiting on rp",01-Mar-17,0.24
